ticker,isin,name,currency,sector,country,exchange,lot_size,face_value,face_value_original,face_value_currency,price_buy,price_sell,price_last,price_close,price_pct,nkd,coupon_value,coupon_pct,coupon_period_days,coupon_qty_per_year,coupon_type,floating_coupon,next_coupon_date,maturity_date,date_to_client,total_yield,yield_to_maturity,yield_to_client,duration,rate,earnings_abs,earnings_rel,liquidity,is_low_liquid,tax_free,subordinated,perpetual,reliable,risk_category,qual_investor,is_tinkoff_bond,indexed_nominal,hist_price_1y,securitization
RU000A10AAQ4,RU000A10AAQ4,СФО Сплит Финанс 1 01,RUB,IT,Россия,Московская биржа,1,417.71,417.71,RUB,441.059989,440.182798,434.501942,434.126003,104.02,5.722627,8.87,25.0,31.0,12,Fixed,False,2026-06-29T00:00:00Z,2028-12-27T00:00:00+03:00,2028-12-27T00:00:00+03:00,24.03,12.48,12.48,0.3,2,0.375939,0.0009,True,False,False,False,False,True,0,False,False,False,440.642279,True
RU000A10F397,RU000A10F397,Кредитный поток 5.0,RUB,Financial,Россия,Московская биржа,1,1000.0,1000.0,RUB,1016.8,1016.3,1008.0,1008.9,100.8,8.8,31.12,16.0,71.0,12,Fixed,False,2026-08-06T00:00:00Z,2030-06-06T00:00:00+03:00,2030-06-06T00:00:00+03:00,15.87,16.41,16.41,1.18,2,0.8,0.0008,True,False,False,False,False,True,0,False,False,False,1008.0,True
RU000A10AV15,RU000A10AV15,ВИС ФИНАНС БО-П07,RUB,Financial,Россия,Московская биржа,1,1000.0,1000.0,RUB,1017.5,1017.4,1012.0,1013.6,101.2,5.5,20.75,25.25,30.0,12,Fixed,False,2026-07-08T00:00:00Z,2026-08-07T00:00:00+03:00,2026-08-07T00:00:00+03:00,24.95,17.98,17.98,0.14,2,-2.2,-0.0022,True,False,False,False,False,True,0,False,False,False,1058.6,False
RU000A10ENP1,RU000A10ENP1,СФО Альфа Фабрика ПК-3 класс А,RUB,Financial,Россия,Московская биржа,1,1000.0,1000.0,RUB,1031.9,1031.3,1004.2,1003.4,100.42,27.7,34.39,16.3,77.0,12,Fixed,False,2026-07-01T00:00:00Z,2032-10-01T00:00:00+03:00,2032-10-01T00:00:00+03:00,16.23,16.7,16.7,0.57,2,0.1,0.0001,True,False,False,False,False,True,0,False,False,False,1003.0,True
RU000A10A6J1,RU000A10A6J1,Томск 34009,RUB,Municipal,Россия,Московская биржа,1,500.0,500.0,RUB,526.0,525.1,522.55,523.0,104.51,2.5,11.04,26.0,31.0,12,Fixed,False,2026-07-10T00:00:00Z,2026-12-12T00:00:00+03:00,2026-12-12T00:00:00+03:00,24.88,14.89,14.89,0.37,2,-0.3,-0.0006,True,False,False,False,False,True,0,False,False,False,542.2,False
RU000A10B7T7,RU000A10B7T7,Кредитный поток 1.0,RUB,Other,Россия,Московская биржа,1,218.21,218.21,RUB,229.491457,228.836827,226.349233,226.567443,103.73,3.142224,4.63,25.0,31.0,12,Fixed,False,2026-06-26T00:00:00Z,2030-03-26T00:00:00+03:00,2030-03-26T00:00:00+03:00,24.1,7.28,7.28,0.21,2,0.130926,0.0006,True,False,False,False,False,True,0,False,False,False,227.483925,True
RU000A10AHE5,RU000A10AHE5,Новые Технологии 001Р-02,RUB,Materials,,Московская биржа,1,1000.0,1000.0,RUB,1084.2,1082.1,1064.0,1066.2,106.4,20.3,22.6,27.5,30.0,12,Fixed,False,2026-06-19T00:00:00Z,2026-12-16T00:00:00+03:00,2026-12-16T00:00:00+03:00,25.85,15.16,15.16,0.47,2,-2.3,-0.0022,True,False,False,False,False,True,0,False,False,False,1097.5,False
RU000A10EWA4,RU000A10EWA4,СФО ВТБ РКС Олимп A4,RUB,Financial,Россия,Московская биржа,1,1000.0,1000.0,RUB,1033.1,1031.3,1014.3,1017.8,101.43,17.0,24.21,15.5,57.0,12,Fixed,False,2026-07-03T00:00:00Z,2034-01-03T00:00:00+03:00,2034-01-03T00:00:00+03:00,15.28,15.38,15.38,1.29,2,0.8,0.0008,True,False,False,False,False,True,0,False,False,False,1004.8,True
RU000A10B461,RU000A10B461,Новосибирскавтодор БО-03,RUB,Other,Россия,Московская биржа,1,1000.0,1000.0,RUB,1044.1,1041.8,1040.8,1040.9,104.08,2.1,21.37,26.0,30.0,12,Fixed,False,2026-06-15T00:00:00Z,2028-03-04T00:00:00+03:00,2028-03-04T00:00:00+03:00,24.98,,25.71,1.41,1,-4.6,-0.0044,True,False,False,False,False,True,1,False,False,False,1040.3,False
RU000A10B313,RU000A10B313,Брусника 002Р-05,RUB,RealEstate,Россия,Московская биржа,1,1000.0,1000.0,RUB,1010.2,1009.7,1007.5,1008.8,100.75,2.7,20.34,24.75,30.0,12,Variable,False,2026-06-15T00:00:00Z,2028-03-03T00:00:00+03:00,2026-09-14T00:00:00Z,24.57,,23.87,0.24,1,-1.1,-0.0011,True,False,False,False,False,True,1,False,False,False,998.0,False
RU000A10B0R6,RU000A10B0R6,Кокс 001P-02,RUB,Materials,Россия,Московская биржа,1,1000.0,1000.0,RUB,1019.4,1016.8,1005.1,1007.3,100.51,11.9,20.96,25.5,30.0,12,Variable,False,2026-06-29T00:00:00Z,2028-02-19T00:00:00+03:00,2026-09-02T00:00:00Z,25.37,,25.62,0.21,1,-2.7,-0.0027,True,False,False,False,False,True,1,False,False,False,1022.0,False
RU000A10BAP4,RU000A10BAP4,Эталон-Финанс 002Р-03,RUB,RealEstate,Россия,Московская биржа,1,1000.0,1000.0,RUB,1045.3,1044.1,1036.3,1035.8,103.63,7.7,20.96,25.5,30.0,12,Fixed,False,2026-07-06T00:00:00Z,2027-04-01T00:00:00+03:00,2027-04-01T00:00:00+03:00,24.61,22.53,22.53,0.72,1,-1.5,-0.0014,True,False,False,False,False,True,1,False,False,False,1070.0,False
RU000A10BFX7,RU000A10BFX7,ГК Самолет БО-П16,RUB,RealEstate,Россия,Московская биржа,1,1000.0,1000.0,RUB,1035.5,1034.7,1034.7,1029.7,103.47,0.0,20.96,25.5,30.0,12,Fixed,False,2026-06-16T00:00:00Z,2028-04-06T00:00:00+03:00,2028-04-06T00:00:00+03:00,24.64,25.76,25.76,1.47,1,-4.8,-0.0046,True,False,False,False,False,True,1,False,False,False,1069.9,False
RU000A10AS28,RU000A10AS28,Биннофарм Групп 001Р-04,RUB,HealthCare,,Московская биржа,1,1000.0,1000.0,RUB,1020.5,1019.5,1010.4,1008.5,101.04,10.5,20.96,25.5,30.0,12,Variable,False,2026-07-01T00:00:00Z,2028-01-22T00:00:00+03:00,2026-08-05T00:00:00Z,25.24,,19.27,0.13,1,1.7,0.0017,True,False,False,False,False,True,1,False,False,False,1053.2,False
RU000A10ASE2,RU000A10ASE2,РОЛЬФ БО 001Р-07,RUB,Consumer,,Московская биржа,1,1000.0,1000.0,RUB,1063.0,1060.8,1049.0,1050.0,104.9,15.0,21.37,26.0,30.0,12,Fixed,False,2026-06-25T00:00:00Z,2027-01-21T00:00:00+03:00,2027-01-21T00:00:00+03:00,24.79,18.79,18.79,0.56,1,0.9,0.0009,True,False,False,False,False,True,1,False,False,False,1022.8,False
RU000A10BM56,RU000A10BM56,АПРИ БО-002Р-10,RUB,RealEstate,,Московская биржа,1,1000.0,1000.0,RUB,1017.9,1015.7,1018.0,1016.5,101.8,0.0,25.07,30.5,30.0,12,Variable,False,2026-06-16T00:00:00Z,2030-04-26T00:00:00+03:00,2026-08-28T00:00:00Z,29.96,,23.46,0.2,1,0.0,0.0,True,False,False,False,False,True,1,False,False,False,1001.0,False
RU000A10ATR2,RU000A10ATR2,Глоракс 001P-03,RUB,RealEstate,,Московская биржа,1,1000.0,1000.0,RUB,1084.1,1081.9,1069.7,1069.6,106.97,11.5,23.01,28.0,30.0,12,Fixed,False,2026-07-01T00:00:00Z,2027-01-27T00:00:00+03:00,2027-01-27T00:00:00+03:00,26.18,17.27,17.27,0.57,1,2.1,0.002,True,False,False,False,False,True,1,False,False,False,1066.5,False
RU000A10BFP3,RU000A10BFP3,МВ Финанс 001Р-06,RUB,Consumer,Россия,Московская биржа,1,1000.0,1000.0,RUB,1063.1,1060.7,1060.0,1058.7,106.0,0.7,21.37,26.0,30.0,12,Fixed,False,2026-06-15T00:00:00Z,2027-04-11T00:00:00+03:00,2027-04-11T00:00:00+03:00,24.53,19.64,19.64,0.75,1,-2.5,-0.0024,True,False,False,False,False,True,1,False,False,False,1036.2,False
RU000A10B8X7,RU000A10B8X7,ДАРС-Девелопмент 001Р-03,RUB,RealEstate,Россия,Московская биржа,1,1000.0,1000.0,RUB,1022.7,1021.9,1012.7,1011.5,101.27,10.0,21.37,26.0,30.0,12,Fixed,False,2026-07-02T00:00:00Z,2026-09-30T00:00:00+03:00,2026-09-30T00:00:00+03:00,25.67,23.68,23.68,0.28,1,-0.3,-0.0003,True,False,False,False,False,True,1,False,False,False,999.0,False
RU000A10ADD6,RU000A10ADD6,НСКАТД БО-02,RUB,Other,Россия,Московская биржа,1,1000.0,1000.0,RUB,1064.0,1063.1,1056.8,1068.0,105.68,4.0,23.84,29.0,30.0,12,Variable,False,2026-07-13T00:00:00Z,2027-12-03T00:00:00+03:00,2026-12-11T00:00:00Z,27.44,,18.15,0.46,1,-2.7,-0.0025,True,False,False,False,False,True,1,False,False,False,1067.0,False
RU000A10BP87,RU000A10BP87,ПИР БО-03-001P,RUB,Industrials,,Московская биржа,1,1000.0,1000.0,RUB,1070.7,1069.1,1050.1,1048.3,105.01,20.6,24.66,30.0,30.0,12,Fixed,False,2026-06-22T00:00:00Z,2028-05-11T00:00:00+03:00,2028-05-11T00:00:00+03:00,28.57,28.43,28.43,1.05,1,-0.4,-0.0004,True,False,False,False,False,True,1,False,False,False,1003.5,False
RU000A108405,RU000A108405,Хромос Инжиниринг БО-01,RUB,Other,Россия,Московская биржа,1,1000.0,1000.0,RUB,1024.0,1022.2,1022.2,1025.4,102.22,0.0,24.25,29.5,30.0,12,Variable,False,2026-06-16T00:00:00Z,2028-03-07T00:00:00+03:00,2026-09-23T00:00:00Z,28.86,,23.18,0.26,1,-2.3,-0.0022,True,False,False,False,False,True,1,False,False,False,1023.8,False
