ticker,isin,name,currency,sector,country
SU26238RMFS4,RU000A1038V6,ОФЗ 26238,RUB,Government,Россия
SU26254RMFS1,RU000A10D533,ОФЗ 26254,RUB,Government,Россия
SU26248RMFS3,RU000A108EH4,ОФЗ 26248,RUB,Government,Россия
SU26250RMFS9,RU000A10BVH7,ОФЗ 26250,RUB,Government,
SU26247RMFS5,RU000A108EF8,ОФЗ 26247,RUB,Government,Россия
SU26252RMFS5,RU000A10D4Y2,ОФЗ 26252,RUB,Government,Россия
SU26233RMFS5,RU000A101F94,ОФЗ 26233,RUB,Government,Россия
SU26246RMFS7,RU000A108EE1,ОФЗ 26246,RUB,Government,Россия
SU26253RMFS3,RU000A10D517,ОФЗ 26253,RUB,Government,Россия
SU26240RMFS0,RU000A103BR0,ОФЗ 26240,RUB,Government,Россия
RU000A10F801,RU000A10F801,ГТЛК 002P-13,RUB,Financial,Россия
SU26230RMFS1,RU000A100EF5,ОФЗ 26230,RUB,Government,Россия
SU26245RMFS9,RU000A108EG6,ОФЗ 26245,RUB,Government,Россия
RU000A10F7R7,RU000A10F7R7,Сбербанк 001P-SBER56,RUB,Financial,Россия
SU26243RMFS4,RU000A106E90,ОФЗ 26243,RUB,Government,Россия
RU000A10FA72,RU000A10FA72,АФК Система 002Р-14,RUB,Financial,Россия
SU26244RMFS2,RU000A1074G2,ОФЗ 26244,RUB,Government,Россия
SU26249RMFS1,RU000A10BVC8,ОФЗ 26249,RUB,Government,
SU26241RMFS8,RU000A105FZ9,ОФЗ 26241,RUB,Government,Россия
RU000A10AZ60,RU000A10AZ60,РЖД БО 001P-38R,RUB,Industrials,Россия
RU000A10EYV6,RU000A10EYV6,ПГК 003Р-04,RUB,Industrials,Россия
RU000A10BY94,RU000A10BY94,АФК Система БО 002Р-03,RUB,Financial,Россия
RU000A109KT4,RU000A109KT4,МФК Т-Финанс 001P-01,RUB,Financial,Россия
RU000A106375,RU000A106375,Газпром капитал 07,RUB,Energy,Россия
RU000A10EYJ1,RU000A10EYJ1,ВИС ФИНАНС БО-П12,RUB,Financial,Россия
RU000A10CW87,RU000A10CW87,СФО ВТБ РКС Эталон 06,RUB,Financial,Россия
SU29007RMFS0,RU000A0JV4M0,ОФЗ 29007,RUB,Government,Россия
RU000A10AU73,RU000A10AU73,ГТЛК БО 002P-07,RUB,Financial,
RU000A10ABC2,RU000A10ABC2,Новосибирская область 34026,RUB,Municipal,Россия
SU26225RMFS1,RU000A0ZYUB7,ОФЗ 26225,RUB,Government,Россия
SU29010RMFS4,RU000A0JV4Q1,ОФЗ 29010,RUB,Government,Россия
SU26242RMFS6,RU000A105RV3,ОФЗ 26242,RUB,Government,Россия
SU26236RMFS8,RU000A102BT8,ОФЗ 26236,RUB,Government,Россия
SU26219RMFS4,RU000A0JWM07,ОФЗ 26219,RUB,Government,Россия
SU29008RMFS8,RU000A0JV4P3,ОФЗ 29008,RUB,Government,Россия
RU000A10BK17,RU000A10BK17,Газпром нефть БО 003P-15R,RUB,Energy,Россия
RU000A10ATW2,RU000A10ATW2,Балтийский лизинг БО-П15,RUB,Financial,
SU26218RMFS6,RU000A0JVW48,ОФЗ 26218,RUB,Government,Россия
SU26235RMFS0,RU000A1028E3,ОФЗ 26235,RUB,Government,Россия
SU29029RMFS4,RU000A10D525,ОФЗ 29029,RUB,Government,Россия
RU000A10AAQ4,RU000A10AAQ4,СФО Сплит Финанс 1 01,RUB,IT,Россия
SU29025RMFS2,RU000A106Z61,ОФЗ 29025,RUB,Government,Россия
SU26251RMFS7,RU000A10CKT3,ОФЗ 26251,RUB,Government,Россия
RU000A106ZL5,RU000A106ZL5,РЖД БО 001P-28R,RUB,Industrials,Россия
SU29016RMFS1,RU000A1025B5,ОФЗ 29016,RUB,Government,Россия
RU000A10A3Z4,RU000A10A3Z4,ГТЛК БО 002P-04,RUB,Financial,Россия
RU000A10CDZ5,RU000A10CDZ5,РЖД БО 001P-45R,RUB,Industrials,Россия
SU26207RMFS9,RU000A0JS3W6,ОФЗ 26207,RUB,Government,Россия
SU26221RMFS0,RU000A0JXFM1,ОФЗ 26221,RUB,Government,Россия
RU000A10F397,RU000A10F397,Кредитный поток 5.0,RUB,Financial,Россия
RU000A10F8P9,RU000A10F8P9,РЖД БО 001P-53R,RUB,Industrials,Россия
RU000A10CKZ0,RU000A10CKZ0,ЕвразХолдинг Финанс 003P-04,RUB,Materials,Россия
RU000A10EC22,RU000A10EC22,Селигдар 001Р-10,RUB,Materials,Россия
SU29026RMFS0,RU000A10A7D2,ОФЗ 29026,RUB,Government,Россия
RU000A10B024,RU000A10B024,АФК Система БО 002Р-01,RUB,Financial,
RU000A10B495,RU000A10B495,РЖД БО 001P-41R,RUB,Industrials,Россия
RU000A10EES4,RU000A10EES4,ВИС ФИНАНС БО-П11,RUB,Financial,Россия
RU000A107456,RU000A107456,МТС Банк 001P-03,RUB,Financial,Россия
SU26239RMFS2,RU000A103901,ОФЗ 26239,RUB,Government,Россия
RU000A10B933,RU000A10B933,Селигдар 001Р-03,RUB,Materials,Россия
RU000A1084E6,RU000A1084E6,О'КЕЙ БО 001Р-06,RUB,Consumer,Россия
RU000A10DSL1,RU000A10DSL1,ПГК 003Р-02,RUB,Industrials,Россия
RU000A10A7S0,RU000A10A7S0,Селектел 001P-05R,RUB,IT,
RU000A10DTF1,RU000A10DTF1,Селигдар 001Р-08,RUB,Materials,Россия
RU000A10D3X6,RU000A10D3X6,Селигдар 001Р-07,RUB,Materials,Россия
SU29027RMFS8,RU000A10AA93,ОФЗ 29027,RUB,Government,Россия
SU29015RMFS3,RU000A1025A7,ОФЗ 29015,RUB,Government,Россия
SU26228RMFS5,RU000A100A82,ОФЗ 26228,RUB,Government,Россия
RU000A10BPZ1,RU000A10BPZ1,АФК Система БО 002Р-02,RUB,Financial,Россия
RU000A109E71,RU000A109E71,ТрансКонтейнер П02-01,RUB,Industrials,Россия
RU000A10FA64,RU000A10FA64,ИНАРКТИКА 002Р-06,RUB,Consumer,Россия
